emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,issuanceOfStock,investments,changeToOperatingActivities
WOOD.JK,2019-12-31,0.0,-208099719619.0,515400563908.0,538728563907.0,217472643797.0,-74668308934.0,887820312.0,-406184973534.0,101712779167.0,-272263179.0,-15906250000.0,23327999999.0,-725370396498.0,-256742677257.0,,19350000000.0,-2264000000.0,
WOOD.JK,2018-12-31,0.0,-144952348337.0,597879009398.0,638058365885.0,239266426284.0,73974678642.0,-457481299.0,-414427984259.0,87863482106.0,-71145014.0,-15906250000.0,20829356487.0,-741557892649.0,-168853196495.0,,19350000000.0,-2310000000.0,
BABP.JK,2021-12-31,0.0,-371916000000.0,-85000000.0,2488064000000.0,12868000000.0,985404000000.0,-13814000000.0,-1116930000000.0,15793000000.0,,,2163149000000.0,133231000000.0,-7290000000.0,,325000000000.0,-361897000000.0,-1290601000000.0
BABP.JK,2020-12-31,0.0,-430599000000.0,952000000.0,872919000000.0,10414000000.0,485048000000.0,-15660000000.0,58388000000.0,20963000000.0,,,871967000000.0,80656000000.0,-14396000000.0,,325000000000.0,-410605000000.0,-57311000000.0
BABP.JK,2019-12-31,0.0,-20625000000.0,952000000.0,-292922000000.0,20433000000.0,-730877000000.0,-10510000000.0,-406820000000.0,19925000000.0,,,-388335000000.0,91732000000.0,-20267000000.0,,95413000000.0,3522000000.0,-547324000000.0
BABP.JK,2018-12-31,0.0,83129000000.0,952000000.0,119440000000.0,57021000000.0,196067000000.0,-4239000000.0,-2263000000.0,16946000000.0,,,67082000000.0,10187000000.0,-8857000000.0,,52358000000.0,101147000000.0,-92469000000.0
MPMX.JK,2021-12-31,0.0,-161853000000.0,290761000000.0,-200802000000.0,411735000000.0,217836000000.0,,580491000000.0,363680000000.0,,-496308000000.0,-8000000.0,-194924000000.0,-85001000000.0,,4753000000.0,-142650000000.0,
MPMX.JK,2020-12-31,0.0,-541732000000.0,257067000000.0,-124003000000.0,118331000000.0,-198417000000.0,,467318000000.0,647964000000.0,,-387904000000.0,-4000000.0,-298977000000.0,-65473000000.0,,6838000000.0,-65145000000.0,
MPMX.JK,2019-12-31,0.0,-116559000000.0,58596000000.0,-1897279000000.0,433065000000.0,-2203138000000.0,,-189300000000.0,328636000000.0,,-2065254000000.0,-11000000.0,-951001000000.0,-131325000000.0,,109390000000.0,12285000000.0,
MPMX.JK,2018-12-31,0.0,5615959000000.0,-2944916000000.0,-2927155000000.0,3660250000000.0,2791039000000.0,,102235000000.0,389908000000.0,,-2065254000000.0,-12000000.0,-3947923000000.0,-153238000000.0,-18071000000.0,35844000000.0,-243282000000.0,
BHIT.JK,2021-12-31,0.0,-2947234000000.0,-1015661000000.0,-727981000000.0,647562000000.0,1530770000000.0,,5205985000000.0,1492817000000.0,-231312000000.0,,287680000000.0,2627603000000.0,-1560422000000.0,,,-1232962000000.0,438003000000.0
BHIT.JK,2020-12-31,0.0,-3246543000000.0,-1577269000000.0,-574747000000.0,150954000000.0,515461000000.0,,4336751000000.0,1400891000000.0,-1118809000000.0,,402652000000.0,2106033000000.0,-2017002000000.0,,599870000000.0,-230243000000.0,678873000000.0
BHIT.JK,2019-12-31,0.0,-3514695000000.0,-1513013000000.0,-357338000000.0,430814000000.0,-830747000000.0,,3041286000000.0,1599075000000.0,-55001000000.0,,1155593000000.0,1805310000000.0,-1943961000000.0,,82000000.0,-2056000000.0,-793913000000.0
BHIT.JK,2018-12-31,0.0,-3630488000000.0,481587000000.0,457160000000.0,86353000000.0,-427598000000.0,,2745730000000.0,1565933000000.0,5108000000.0,,-470868000000.0,2518369000000.0,-2700011000000.0,,446441000000.0,-107106000000.0,-1424925000000.0
ABDA.JK,2021-12-31,0.0,-106545679000.0,,-41594048000.0,157363230000.0,-266930755000.0,,-118791028000.0,9355532000.0,135008922000.0,-41594048000.0,,-285509790000.0,-14743790000.0,,,-226934777000.0,
ABDA.JK,2020-12-31,0.0,-115253497000.0,,-37248401000.0,138203753000.0,-374558984000.0,,-222057086000.0,9073017000.0,164779799000.0,-37248401000.0,,-369333856000.0,-4966673000.0,,,-276618757000.0,
ABDA.JK,2019-12-31,0.0,638561346000.0,,-117953269000.0,87523919000.0,315596245000.0,,-205011832000.0,8720754000.0,183152833000.0,-117953269000.0,,-301256505000.0,-3946226000.0,,,458657889000.0,
ABDA.JK,2018-12-31,0.0,376441522000.0,,-55872601000.0,69109403000.0,205545607000.0,,-115023314000.0,8743979000.0,159444104000.0,-55872601000.0,,-192876696000.0,-12391720000.0,,,227347153000.0,
MARK.JK,2021-12-31,0.0,-175528209710.0,-28314730374.0,-91615487318.0,392150710841.0,64552508555.0,,331696205583.0,21174336245.0,,-57000004650.0,-6300752294.0,-81628841503.0,-179289573346.0,,,,
MARK.JK,2020-12-31,0.0,-152145181283.0,47095406772.0,-55087550089.0,144026946166.0,11688649190.0,,218921380562.0,18550470717.0,9580306466.0,-26600002170.0,-75582954691.0,56343963679.0,-162141873077.0,,,,
