emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,issuanceOfStock,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,investments,changeToOperatingActivities,repurchaseOfStock
ASSA.JK,2019-12-31,0.0,-147616749211.0,561477958197.0,323323533017.0,,110402454046.0,26981725577.0,-1049232134.0,-147675826095.0,516703901602.0,,-12632500000.0,-238154425180.0,-781810133650.0,-63361369285.0,-30181000000.0,,
ASSA.JK,2018-12-31,0.0,-113241977576.0,348986205718.0,133240890609.0,,143508652753.0,142672650229.0,-240247657.0,122913984853.0,430526758340.0,,-40770000000.0,-174975315109.0,-454744056797.0,-113517653284.0,-30181000000.0,,
MCOL.JK,2021-12-31,0.0,-48701602.0,-62377407.0,-104079185.0,35403889.0,271354692.0,160689098.0,,313469885.0,36031433.0,2071651.0,-71617238.0,-5488429.0,6083760.0,-52505364.0,3925.0,,
MCOL.JK,2020-12-31,0.0,-4377480.0,-17192693.0,-75907781.0,35403889.0,40884566.0,29814299.0,,110099560.0,32877004.0,2952067.0,-47006310.0,-11708778.0,36337990.0,-7380177.0,3925.0,,
MCOL.JK,2019-12-31,0.0,-41177237.0,6367830.0,-20487027.0,35403889.0,31949999.0,22861931.0,,84526195.0,29820985.0,1535794.0,-18660348.0,-8194509.0,22755211.0,-38522607.0,-5039448.0,,
MCOL.JK,2018-12-31,0.0,-3706429.0,-10080522.0,-63916843.0,35403889.0,5539328.0,-42976556.0,,24646716.0,30735486.0,5613729.0,-46206283.0,-7630038.0,-11628098.0,-12757717.0,1944293.0,,
CITA.JK,2021-12-31,0.0,-76913626202.0,-14190111348.0,-407926455237.0,,568354232622.0,-26102797277.0,8760002326.0,449977281836.0,113552448342.0,,-360392873750.0,-33343470139.0,-231929399128.0,-78840910702.0,,,
CITA.JK,2020-12-31,0.0,-87859299585.0,-1097468498403.0,-316827940967.0,1184239203149.0,649938571941.0,68918572644.0,46443020431.0,427162792765.0,113894405047.0,,-368313596250.0,-35285049463.0,-336670184223.0,-88040999585.0,,,
CITA.JK,2019-12-31,0.0,-212444612817.0,-305597753054.0,-220701323569.0,1184239203149.0,657788325709.0,87279802104.0,-1140626855.0,521566365345.0,98917806243.0,,-368313596250.0,84896429485.0,-235139766607.0,-214296294635.0,,,
CITA.JK,2018-12-31,0.0,-168045942357.0,-354586081235.0,-366434883509.0,1184239203149.0,661281807412.0,9555898233.0,74899948.0,543961824151.0,94056239039.0,,-368313596250.0,-11848802274.0,-211376222300.0,-169145033262.0,,,
TAPG.JK,2021-12-31,0.0,-357107000000.0,-1073171000000.0,-1317024000000.0,173240000000.0,1159036000000.0,-209723000000.0,9393000000.0,1455015000000.0,551002000000.0,121411000000.0,-299972000000.0,-117121000000.0,-259744000000.0,-470606000000.0,,,
TAPG.JK,2020-12-31,0.0,-212885000000.0,-1068546000000.0,-1314035000000.0,173240000000.0,911068000000.0,25815000000.0,874000000.0,1551861000000.0,520219000000.0,81911000000.0,-299972000000.0,-245489000000.0,116074000000.0,-444854000000.0,152702000000.0,,
TAPG.JK,2019-12-31,0.0,-606022000000.0,-1032965000000.0,-1479182000000.0,173240000000.0,191415000000.0,-1369538000000.0,874000000.0,715666000000.0,487884000000.0,170737000000.0,-299972000000.0,-446217000000.0,32384000000.0,-778549000000.0,367000000.0,,
TAPG.JK,2018-12-31,0.0,-512775000000.0,1220037000000.0,860837000000.0,173240000000.0,211543000000.0,1176735000000.0,874000000.0,828673000000.0,420016000000.0,287631000000.0,-299972000000.0,-359200000000.0,194809000000.0,-891789000000.0,47806000000.0,,
ARCI.JK,2021-12-31,0.0,-118157954.0,-95712152.0,-33897655.0,62564793.0,75175794.0,-27892000.0,-6477.0,124170086.0,27205192.0,,,-750296.0,21789100.0,-118157954.0,,,
ARCI.JK,2020-12-31,0.0,-85780124.0,131531116.0,-78071601.0,62564793.0,123333520.0,-8225645.0,-26911.0,155652991.0,22987768.0,,-202156417.0,-7446300.0,9331703.0,-85608350.0,-171774.0,,
ARCI.JK,2019-12-31,0.0,-41161541.0,-20483860.0,-94989914.0,62564793.0,92996273.0,32686717.0,69064.0,168769108.0,51636965.0,,-75000000.0,493946.0,24135870.0,-41161541.0,-171774.0,,
ARCI.JK,2018-12-31,0.0,-71358564.0,28015599.0,-80292202.0,62564793.0,104040123.0,-35285248.0,-58020.0,116423538.0,41164575.0,,-99798500.0,-8509301.0,-28781160.0,-71358564.0,-171774.0,,
FAPA.JK,2021-12-31,0.0,-295496899605.0,-85622030687.0,-302198673366.0,,384437177676.0,367941815418.0,,965637388389.0,557835409466.0,-59835168401.0,,-216576642679.0,23364801247.0,-235762922106.0,,,
FAPA.JK,2020-12-31,0.0,-501227105934.0,-3416715481.0,-39608656639.0,1001717712000.0,-120325584163.0,6323542614.0,,547159305187.0,532209684951.0,-20705901689.0,,-1037909653158.0,135275204399.0,-641915442882.0,,,
