maxAge,endDate,cash,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,longTermInvestments,propertyPlantEquipment,goodWill,otherAssets,deferredLongTermAssetCharges,totalAssets,accountsPayable,shortLongTermDebt,otherCurrentLiab,longTermDebt,otherLiab,minorityInterest,totalCurrentLiabilities,totalLiab,commonStock,retainedEarnings,treasuryStock,capitalSurplus,otherStockholderEquity,totalStockholderEquity,netTangibleAssets,type,kode,intangibleAssets,shortTermInvestments,deferredLongTermLiab
1.0,2021-12-31,661391000000.0,41565000000.0,746771000000.0,52873000000.0,1513483000000.0,516880000000.0,3249563000000.0,,571303000000.0,99455000000.0,5851229000000.0,487379000000.0,,423599000000.0,,410281000000.0,,2070044000000.0,4845257000000.0,280461000000.0,4566340000000.0,-3840829000000.0,,-3640715000000.0,1005972000000.0,1005972000000.0,Q,LPPF.JK,,,
1.0,2021-09-30,468550000000.0,44608000000.0,794486000000.0,58495000000.0,1386469000000.0,768040000000.0,3099905000000.0,,521234000000.0,94989000000.0,5775648000000.0,183751000000.0,,439788000000.0,,429405000000.0,,1908657000000.0,4716891000000.0,280461000000.0,4296346000000.0,-3518050000000.0,,-3389555000000.0,1058757000000.0,1058757000000.0,Q,LPPF.JK,,,
1.0,2021-12-31,12792949944.0,16200000.0,,87172618.0,81418260435.0,1132048323392.0,434321573.0,,46350000.0,,1213947255400.0,,,46034115.0,,1340506.0,,122741154.0,124081660.0,1257150000000.0,204828121736.0,-248154947996.0,,-248154947996.0,1213823173740.0,1213823173740.0,A,LPPS.JK,,,
1.0,2020-12-31,1771431314.0,16200000.0,,115774475.0,80574942090.0,1017397536815.0,488353479.0,,346350000.0,,1098807182384.0,,,10101386.0,,3983474722.0,,74116026.0,4057590748.0,1257150000000.0,87788365789.0,-250188774153.0,,-250188774153.0,1094749591636.0,1094749591636.0,A,LPPS.JK,,,
1.0,2019-12-31,74298652853.0,251235906.0,,164261136.0,167434324974.0,925717343770.0,544048165.0,,46350000.0,,1093765589044.0,,,731801445.0,,11590464265.0,,731801445.0,12322265710.0,1257150000000.0,71735825198.0,-247442501864.0,,-247442501864.0,1081443323334.0,1081419801199.0,A,LPPS.JK,23522135.0,,
1.0,2018-12-31,58455241161.0,685414357.0,,271350000.0,179405571655.0,1081969988650.0,604523211.0,,,,1262027127785.0,,,840028423.0,,11219413257.0,,855493261.0,12074906518.0,1257150000000.0,109125014901.0,-116322793634.0,,-116322793634.0,1249952221267.0,1249905176998.0,A,LPPS.JK,47044269.0,,
1.0,2022-06-30,12584437191.0,21800000.0,,42500000.0,71333147440.0,1071816440122.0,418429277.0,,46350000.0,,1143614366839.0,,,22806456.0,,9633506.0,,27521222.0,37154728.0,1257150000000.0,107049152619.0,-220621940508.0,,-220621940508.0,1143577212111.0,1143577212111.0,Q,LPPS.JK,,,
1.0,2022-03-31,12649901390.0,100581372.0,,63750000.0,81528941117.0,1098179114250.0,426375425.0,,46350000.0,,1180180780792.0,,,21887542.0,,5487006.0,,58449007.0,63936013.0,1257150000000.0,143970229137.0,-221003384358.0,,-221003384358.0,1180116844779.0,1180116844779.0,Q,LPPS.JK,,,
1.0,2021-12-31,12792949944.0,16200000.0,,87172618.0,81418260435.0,1132048323392.0,434321573.0,,46350000.0,,1213947255400.0,,,46034115.0,,1340506.0,,122741154.0,124081660.0,1257150000000.0,204828121736.0,-248154947996.0,,-248154947996.0,1213823173740.0,1213823173740.0,Q,LPPS.JK,,,
1.0,2021-09-30,8882336309.0,410400000.0,,92601245.0,95488872231.0,1166551478388.0,444867879.0,,346350000.0,,1262831568498.0,,,10155538.0,,,,10475116.0,10475116.0,1257150000000.0,273900449192.0,-268229355810.0,,-268229355810.0,1262821093382.0,1262821093382.0,Q,LPPS.JK,,,
1.0,2021-12-31,1017139040.0,5967765313.0,11410547792.0,782723763.0,19325367668.0,,187462225890.0,,32546389796.0,,239333983354.0,2067497107.0,,2756907067.0,,26407447235.0,,19204829670.0,47302648250.0,175000011000.0,-131395625014.0,89758476202.0,58668472916.0,89758476202.0,192031335104.0,192031335104.0,A,LRNA.JK,,,
1.0,2020-12-31,886458653.0,5814527620.0,11676096315.0,898270486.0,19404955562.0,,215694317955.0,,35409329253.0,,270508602770.0,3933623053.0,,2312100251.0,,23407850520.0,,24273678406.0,52352752945.0,175000011000.0,-104928792261.0,89416158170.0,58668472916.0,89416158170.0,218155849825.0,218155849825.0,A,LRNA.JK,,,
1.0,2019-12-31,16550456508.0,10840798252.0,9291724991.0,1051033756.0,37973876818.0,,238021563892.0,,26641355967.0,,302636796677.0,2769185481.0,,1429306971.0,,18955340383.0,,16654963274.0,41462629189.0,175000011000.0,-61901732872.0,89407416444.0,58668472916.0,89407416444.0,261174167488.0,261174167488.0,A,LRNA.JK,,,
1.0,2018-12-31,16884545148.0,8779091010.0,5746781920.0,1561017872.0,33278321166.0,,260733319651.0,,18047802460.0,,312059443277.0,5523022641.0,,1404326521.0,,18058288002.0,,20166061081.0,44014632463.0,175000011000.0,-55044592241.0,89420919139.0,58668472916.0,89420919139.0,268044810814.0,268044810814.0,A,LRNA.JK,,,
