emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,longTermDebt,inventory,accountsPayable,shortLongTermDebt,intangibleAssets,minorityInterest,netReceivables,goodWill,deferredLongTermLiab
TGKA.JK,2021-12-31,9056550000.0,1643370252313.0,1760564666486.0,116140618373.0,3403961007490.0,91849275000.0,19401753100.0,1725406406835.0,299896827956.0,-65747565349.0,123798113241.0,325744522495.0,1319656849510.0,7955811258.0,-65747565349.0,137862741545.0,3071867706530.0,54801789750.0,1744934010062.0,431868949682.0,,905217754055.0,1047507587549.0,,14675451937.0,26088691.0,1382017203055.0,955204487.0,
TGKA.JK,2020-12-31,9056550000.0,1763283969693.0,1598658902015.0,219319512544.0,3361956197960.0,91849275000.0,25584116650.0,1563500642364.0,326985097198.0,-65747565349.0,134761377631.0,1051601901692.0,1406291340510.0,12941978216.0,-65747565349.0,140612850865.0,3067116650845.0,,1579193583396.0,65240035403.0,,643852616236.0,1039934109076.0,,18510114132.0,13326252.0,1276584250536.0,955204487.0,
TGKA.JK,2019-12-31,9056550000.0,1603873392263.0,1391988121148.0,104466668560.0,2995872438975.0,91849275000.0,49997083817.0,1356829861497.0,306257919370.0,-65747565349.0,125069075633.0,615237301512.0,1281093781950.0,9222332374.0,-65747565349.0,86888676915.0,2761095717618.0,,1369169152339.0,,16521690943.0,752559027509.0,1025186706445.0,,21863764322.0,10925564.0,1303036805235.0,955204487.0,
TGKA.JK,2018-12-31,9056550000.0,2237657909077.0,1237953781311.0,107707588620.0,3485510411961.0,91849275000.0,78372558270.0,1140071954660.0,302821647505.0,-3023998349.0,89026463894.0,249989569797.0,1928698918596.0,9611953138.0,-3023998349.0,94064002067.0,3293438978537.0,,1228972813848.0,,6137342976.0,1353686343242.0,1303712581246.0,,8025762976.0,9898721573.0,1554546519614.0,955204487.0,
SAME.JK,2021-12-31,3103614633094.0,517055256363.0,3836850987695.0,70787368715.0,4948651095330.0,342592650900.0,5070162378.0,-152907741573.0,164851126705.0,543551445274.0,62770932487.0,625070324231.0,331266656019.0,39355407872.0,543551445274.0,3562797963928.0,859320418720.0,,3373089207500.0,,11963665618.0,38413009480.0,88014801996.0,6435658484.0,14516573336.0,594744851272.0,170587659910.0,449245206859.0,
SAME.JK,2020-12-31,15492043298.0,1469906124313.0,1368726946044.0,67334647018.0,2994549714196.0,118000000000.0,8167822737.0,-291461594901.0,83989591278.0,1526696497647.0,40161733710.0,50361003048.0,374276637986.0,21499981560.0,1526696497647.0,2539205216606.0,245420403391.0,,1198964585555.0,,998899154150.0,23681633182.0,92999766356.0,5600000000.0,590492290.0,155916643839.0,147272097060.0,169171868199.0,
SAME.JK,2019-12-31,15492043298.0,1255391515888.0,977492444738.0,34566135206.0,2232894461723.0,118000000000.0,3264150090.0,130938265347.0,49306407000.0,713062136093.0,56184546810.0,22702166408.0,225981133797.0,32995118337.0,713062136093.0,2060361376000.0,116348538913.0,,977492444738.0,,980103975091.0,13412754021.0,90913859357.0,19161956375.0,,10501097.0,71484727366.0,,
SAME.JK,2018-12-31,15492043298.0,1202941257597.0,1326077630767.0,19173893688.0,2529031900083.0,118000000000.0,85810761621.0,240041060458.0,102408741294.0,952544527011.0,14793498843.0,102860526801.0,121409441562.0,5133148790.0,952544527011.0,2087039958655.0,427198442585.0,,1326077630767.0,,979123074741.0,29663885766.0,46902918677.0,12361538692.0,,13011719.0,200121314792.0,,
DUTI.JK,2021-12-31,465081634211.0,4347434120813.0,9160632739006.0,2026385775253.0,15308923447779.0,925000000000.0,750643804212.0,7749855956848.0,1851476132471.0,20695147947.0,6720661091558.0,3375031454437.0,2425833181007.0,,20695147947.0,247754668645.0,7924474668931.0,406730086348.0,9151329806709.0,,69757338610.0,3749273098787.0,265484804219.0,91397687500.0,,1800856587960.0,31626580118.0,9302932297.0,
DUTI.JK,2020-12-31,465081634211.0,3423402804653.0,8493074011565.0,1681747802485.0,13753624738885.0,925000000000.0,634183654050.0,7081624810999.0,1520663762510.0,21367566355.0,6771652661489.0,2443929275445.0,1900303058105.0,,21367566355.0,280405224126.0,6073854519139.0,618409401834.0,8483771079268.0,,,2946715231110.0,172104133909.0,,,1837147922667.0,41993570373.0,9302932297.0,
