emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,effectOfExchangeRate,otherCashflowsFromInvestingActivities,repurchaseOfStock
DUTI.JK,2020-12-31,-54193118192.0,0.0,16915969244.0,-375071964976.0,-1049611317461.0,,,533728203352.0,-543583872337.0,480411231276.0,104222624117.0,-119826369985.0,-157539596193.0,-2103246562.0,-554712982500.0,8700244604.0,148839594822.0,
DUTI.JK,2019-12-31,-450523437502.0,0.0,-563133230334.0,-1445591005.0,-138857404470.0,,,1102853913328.0,497242269689.0,1204660160006.0,86986403249.0,-137411813465.0,14819843429.0,-8330930730.0,-554712982500.0,-5427255513.0,81331784845.0,
DUTI.JK,2018-12-31,-96876287658.0,0.0,-427974503399.0,94696775195.0,5541392807.0,,,911492519460.0,935184175000.0,1360975866626.0,85844438996.0,-89155382388.0,363638908170.0,-6006262309.0,-554712982500.0,-3358581034.0,66496662656.0,
ARNA.JK,2021-12-31,,0.0,-113534391844.0,-10627619430.0,-218877844550.0,,10953626160.0,470902542490.0,166668589402.0,499071136681.0,104404479022.0,-1096250000.0,-76235884831.0,-114564846389.0,-218107601280.0,9689115.0,,
ARNA.JK,2020-12-31,,0.0,-83874757351.0,-60713472699.0,-249144357659.0,,10953626160.0,323013050227.0,86904004150.0,419903184489.0,107816815833.0,-692375000.0,-10926681571.0,-84337660478.0,-161094167872.0,19934671.0,,-26644342088.0
ARNA.JK,2019-12-31,,0.0,-43215091130.0,-49346202619.0,-169495869418.0,,10953626160.0,215534820322.0,156164514518.0,368988791699.0,110773494673.0,-468500000.0,42680476704.0,-44036838404.0,-117247025216.0,-113316633.0,,-2434141583.0
ARNA.JK,2018-12-31,,0.0,-88869408356.0,-42743670893.0,-134613286540.0,,10953626160.0,156623497165.0,133282215692.0,356764910588.0,107954748354.0,-486350000.0,92186665069.0,-80884971616.0,-88095251712.0,-113316633.0,-9606709468.0,-3288013935.0
SMBR.JK,2021-12-31,,0.0,-39707324000.0,10224307000.0,-162392779000.0,,,51815794000.0,172360481000.0,374742047000.0,181663602000.0,-172617086000.0,110860751000.0,-32665015000.0,,-281463000.0,,
SMBR.JK,2020-12-31,,0.0,-82170007000.0,74037092000.0,-93345004000.0,,,10984574000.0,176820255000.0,352300803000.0,170920770000.0,-161223235000.0,140011060000.0,-77123171000.0,-6158861000.0,34463000.0,,
SMBR.JK,2019-12-31,,0.0,-342993040000.0,100293751000.0,-17220792000.0,,,30072339000.0,-290187650000.0,71235464000.0,162437970000.0,-98543400000.0,-131672403000.0,-256496332000.0,-18971143000.0,-1209282000.0,,
SMBR.JK,2018-12-31,-25000000.0,0.0,-326243271000.0,355310298000.0,253868233000.0,,23907494000.0,76071973000.0,-10698919000.0,64469290000.0,151309130000.0,-88688350000.0,-177427201000.0,-214672315000.0,-36661209000.0,-2793171000.0,,
UCID.JK,2021-12-31,,0.0,-233834000000.0,-428697000000.0,-491033000000.0,,,474760000000.0,71063000000.0,795423000000.0,466582000000.0,,-145919000000.0,-233834000000.0,-62336000000.0,507000000.0,,
UCID.JK,2020-12-31,,0.0,-295799000000.0,-1504564000000.0,-1604305000000.0,,,311448000000.0,-558460000000.0,1340637000000.0,435719000000.0,,593470000000.0,-296062000000.0,-79744000000.0,1007000000.0,,-19997000000.0
UCID.JK,2019-12-31,,0.0,2176000000.0,-420036000000.0,733820000000.0,,1246971000000.0,398620000000.0,846566000000.0,111262000000.0,351178000000.0,-93115000000.0,-638536000000.0,-49697000000.0,-79744000000.0,-692000000.0,,-19997000000.0
UCID.JK,2018-12-31,,0.0,-135037000000.0,-492060000000.0,-492060000000.0,,1246971000000.0,181256000000.0,29144000000.0,651971000000.0,345129000000.0,-93115000000.0,125586000000.0,-135750000000.0,-79744000000.0,4270000000.0,,-19997000000.0
NATO.JK,2021-12-31,,0.0,-4100535754.0,,1987200.0,,1987200.0,-5971492384.0,-5385327948.0,-1286779394.0,1905035260.0,,2779677730.0,-4100535754.0,,,,
NATO.JK,2020-12-31,,0.0,-2769403579.0,,11394432.0,,11394432.0,900703102.0,-3524536500.0,-766527353.0,1282092662.0,,-2949323117.0,-2769403579.0,,,,
NATO.JK,2019-12-31,,0.0,-44917938200.0,-16577271588.0,183529270412.0,,206106542000.0,3297452528.0,148198170000.0,9586837788.0,3752884121.0,-6000000000.0,2536501139.0,-44484520250.0,,,-521772117.0,
NATO.JK,2018-12-31,,0.0,-10808576930.0,-17044979670.0,-17044979670.0,,206106542000.0,3057779319.0,-18838946895.0,9014609705.0,2433584588.0,-6000000000.0,3523245798.0,-2808576930.0,,,-8000000000.0,
CPRO.JK,2021-12-31,,0.0,-166873000000.0,-132552000000.0,-136414000000.0,,,2211700000000.0,-203482000000.0,99209000000.0,164013000000.0,-3192000000.0,-2276504000000.0,-141807000000.0,-670000000.0,596000000.0,,
CPRO.JK,2020-12-31,,0.0,-121795000000.0,-504586000000.0,-463441000000.0,,,380902000000.0,172364000000.0,756892000000.0,144424000000.0,41145000000.0,231566000000.0,-120964000000.0,-670000000.0,708000000.0,,
CPRO.JK,2019-12-31,,0.0,-41810000000.0,-302261000000.0,-300624000000.0,,,-349067000000.0,14146000000.0,358866000000.0,113377000000.0,1637000000.0,594556000000.0,-43376000000.0,-670000000.0,-2286000000.0,,
CPRO.JK,2018-12-31,,0.0,-54600000000.0,-171783000000.0,-505794000000.0,,,1722582000000.0,-427436000000.0,109828000000.0,126458000000.0,-334011000000.0,-1739212000000.0,-59030000000.0,-670000000.0,23130000000.0,,
NFCX.JK,2021-12-31,-262661714000.0,0.0,-323193756363.0,36499547792.0,92422101140.0,,,162080420033.0,50669824382.0,281233034206.0,22914706219.0,55922553348.0,94145473791.0,-32908088826.0,,,-20856892437.0,
NFCX.JK,2020-12-31,8662022321.0,0.0,-41638280494.0,19935607222.0,-20837767558.0,,,23949985980.0,-198613980748.0,-136137932696.0,9503402283.0,-7327769080.0,-169880758151.0,-72217007940.0,,,26866945258.0,-33445605700.0
NFCX.JK,2019-12-31,-78890559752.0,0.0,-112304605048.0,22157317269.0,664524938512.0,,126616087013.0,35551962191.0,421496687103.0,-129726315466.0,1480480822.0,515751534230.0,-166853041010.0,-60107550560.0,,,28750000000.0,-33445605700.0
NFCX.JK,2018-12-31,-126968455740.0,0.0,-195518001007.0,-4056089764.0,328463087223.0,,338334875000.0,15757529670.0,37848384510.0,-99921456726.0,693206344.0,-5815698013.0,-116372192740.0,-23665283382.0,,,-25000000000.0,-33445605700.0
SAMF.JK,2021-12-31,,0.0,-31958824942.0,208286378425.0,119008878425.0,,,165349355719.0,53526706300.0,-33523347183.0,23427437473.0,,-222300140375.0,-32038824942.0,-89277500000.0,,,
SAMF.JK,2020-12-31,-1663683326.0,0.0,-67244513643.0,-213231618295.0,-176488220327.0,,93000000000.0,113829452154.0,-12280030682.0,231452703288.0,17598515627.0,-3469102032.0,100024735507.0,-65760530317.0,-52787500000.0,,,
SAMF.JK,2019-12-31,-32650000000.0,0.0,-85635607192.0,-120528351481.0,-155262073098.0,,93000000000.0,82117415140.0,-1556340631.0,239341339659.0,17509027811.0,11313921707.0,139714896708.0,-53202607192.0,-46047643324.0,,,
