emiten,tanggal,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,intangibleAssets,goodWill,deferredLongTermAssetCharges,longTermInvestments,shortTermInvestments,deferredLongTermLiab
MASA.JK,2019-12-31,140116051.0,255715066.0,195387598.0,720.0,12924891.0,451103384.0,137342902.0,901490.0,-81151342.0,17626645.0,-920013.0,3156867.0,4422275.0,72217808.0,,-920013.0,309267511.0,128724986.0,195387598.0,61598644.0,165855403.0,61802577.0,41269914.0,424747.0,,,9954020.0,,
MASA.JK,2018-12-31,140116051.0,342656446.0,204061912.0,10333086.0,27154221.0,557051444.0,137342902.0,77711128.0,-68985214.0,16277583.0,-4411827.0,16810711.0,7899674.0,232334385.0,47580750.0,-4411827.0,334976716.0,204526859.0,203324754.0,58042281.0,93204395.0,60873776.0,93238038.0,737158.0,,,,,1276477.0
DNET.JK,2021-12-31,3481850000000.0,6825270000000.0,10797664000000.0,423280000000.0,112064000000.0,18046214000000.0,3546000000000.0,28917000000.0,3492362000000.0,28708000000.0,277452000000.0,224777000000.0,440052000000.0,1140947000000.0,733271000000.0,277452000000.0,2085885000000.0,5373850000000.0,10795295000000.0,336394000000.0,5599212000000.0,,244718000000.0,935000000.0,1434000000.0,21116000000.0,10359333000000.0,4553984000000.0,
DNET.JK,2020-12-31,3481850000000.0,7087541000000.0,9877259000000.0,258562000000.0,79990000000.0,17223362000000.0,3546000000000.0,66365000000.0,2549248000000.0,23849000000.0,300161000000.0,288037000000.0,177359000000.0,697113000000.0,498648000000.0,300161000000.0,1631031000000.0,5532610000000.0,9874687000000.0,241021000000.0,6317270000000.0,,82840000000.0,1138000000.0,1434000000.0,11038000000.0,9769112000000.0,5044428000000.0,
DNET.JK,2019-12-31,3481850378386.0,5949260469655.0,9275690349704.0,259392103126.0,35783337776.0,15484342922485.0,3546000000000.0,99264606870.0,2235306224978.0,20765881000.0,12533746340.0,316835208428.0,158254338410.0,287401549523.0,206674446760.0,12533746340.0,1173374554130.0,4744135210372.0,9271871604204.0,217432130313.0,5641093039132.0,,26673655838.0,2385115561.0,1433629939.0,2290980215.0,9246179204055.0,4261900000000.0,
DNET.JK,2018-12-31,3481850378386.0,5489148983944.0,8913506587314.0,125328153030.0,11297395071.0,14527983724288.0,3546000000000.0,79035115706.0,1712255981047.0,13804258000.0,173400227881.0,245456217697.0,342283403987.0,299071982140.0,92418122537.0,173400227881.0,835846415316.0,4672723093101.0,8907221989968.0,106442288400.0,5176272743804.0,,181684941562.0,4850967407.0,1433629939.0,2247635567.0,8767673400828.0,4142000000000.0,
INCO.JK,2021-12-31,277760000.0,318367000.0,2154451000.0,10000.0,6602000.0,2472828000.0,136413000.0,618000.0,1740278000.0,146627000.0,,117289000.0,508327000.0,168430000.0,,,1518963000.0,836576000.0,2154451000.0,104557000.0,,162023000.0,122244000.0,,,,,,
INCO.JK,2020-12-31,277760000.0,294270000.0,2020378000.0,10000.0,7557000.0,2314658000.0,136413000.0,36056000.0,1606205000.0,133560000.0,,139540000.0,388682000.0,160710000.0,,,1479146000.0,695972000.0,2020378000.0,62552000.0,,144487000.0,113095000.0,,,,,,
INCO.JK,2019-12-31,277760000.0,280995000.0,1941693000.0,,6576000.0,2222688000.0,136413000.0,8119000.0,1527520000.0,144270000.0,,166913000.0,249035000.0,136552000.0,,,1467462000.0,588313000.0,1941693000.0,110049000.0,,147961000.0,97408000.0,,,,,,
INCO.JK,2018-12-31,277760000.0,318725000.0,1883727000.0,,5998000.0,2202452000.0,136413000.0,27314000.0,1469554000.0,143385000.0,,136944000.0,301153000.0,175340000.0,36519000.0,,1434510000.0,630998000.0,1883727000.0,126774000.0,,131779000.0,91181000.0,,,,,,
GEMS.JK,2021-12-31,229019198.0,512702894.0,315030328.0,1293715.0,184954847.0,829026937.0,65065961.0,42847087.0,97366408.0,33463612.0,-76421239.0,70892305.0,193572821.0,425221593.0,20660526.0,-76421239.0,299512272.0,434160312.0,290568280.0,140679108.0,52100083.0,30079369.0,161817628.0,70684.0,24391364.0,7586994.0,,,
