emiten,tanggal,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,dividendsPaid,otherCashflowsFromInvestingActivities,repurchaseOfStock,issuanceOfStock,changeToOperatingActivities
BBMD.JK,2020-12-31,-2211577641176.0,0.0,-2218909520911.0,8108125994.0,916881398477.0,325932118524.0,-385042026673.0,,916986095761.0,17345254258.0,977452796883.0,146399393672.0,-3169086704.0,-119963022219.0,-1052966700.0,-68679524400.0,155272425.0,421428508921.0
BBMD.JK,2019-12-31,-489546444221.0,0.0,-506257930760.0,4801005949.0,549454502679.0,247573726183.0,-188874879592.0,,-232071451511.0,18517599105.0,545131989305.0,86570632457.0,-9907572939.0,-119963022219.0,-1052966700.0,-478492575.0,155272425.0,-588571747444.0
BBMD.JK,2018-12-31,502031121284.0,0.0,478191309751.0,336448216557.0,-75240227340.0,265862564725.0,203782467246.0,,-199168615165.0,19149323077.0,-351672995997.0,83462135561.0,-19898558733.0,-60001620300.0,-1052966700.0,-13827600.0,155272425.0,-570958509783.0
SMSM.JK,2021-12-31,,0.0,-156976000000.0,89039000000.0,-357586000000.0,662041000000.0,-23875000000.0,1280000000.0,489407000000.0,139054000000.0,-43517000000.0,-311688000000.0,-164526000000.0,-403108000000.0,5005000000.0,,,
SMSM.JK,2020-12-31,,0.0,-77183000000.0,-55100000000.0,-430517000000.0,487742000000.0,443768000000.0,7100000000.0,944368000000.0,149889000000.0,-35656000000.0,306737000000.0,-75573000000.0,-339761000000.0,-4487000000.0,,,
SMSM.JK,2019-12-31,-2050000000.0,0.0,-111555000000.0,-17389000000.0,-383113000000.0,577522000000.0,175656000000.0,-7543000000.0,677867000000.0,133582000000.0,-31721000000.0,-33237000000.0,-117291000000.0,-334003000000.0,480000000.0,,,
SMSM.JK,2018-12-31,-23738000000.0,0.0,-195555000000.0,-24695000000.0,-353900000000.0,556904000000.0,-4931000000.0,1876000000.0,542648000000.0,119589000000.0,-29754000000.0,-133845000000.0,-175877000000.0,-299451000000.0,-501000000.0,,,
LSIP.JK,2021-12-31,,0.0,-334804000000.0,-4485000000.0,-140848000000.0,991238000000.0,1408993000000.0,5794000000.0,1878851000000.0,377481000000.0,,504615000000.0,-308377000000.0,-136363000000.0,-27008000000.0,,,
LSIP.JK,2020-12-31,,0.0,-401478000000.0,-10621000000.0,-112894000000.0,696011000000.0,827299000000.0,4038000000.0,1337633000000.0,389821000000.0,,246290000000.0,-378247000000.0,-102273000000.0,-23495000000.0,,,
LSIP.JK,2019-12-31,-344500000000.0,0.0,-861487000000.0,-10621000000.0,-135171000000.0,253902000000.0,-531881000000.0,-15513000000.0,480290000000.0,389379000000.0,-5625000000.0,-169494000000.0,-464101000000.0,-129546000000.0,-54034000000.0,,,
