emiten,tanggal,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,netIncome,changeInCash,totalCashFromOperatingActivities,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,issuanceOfStock,investments,effectOfExchangeRate,changeToOperatingActivities,repurchaseOfStock
SIDO.JK,2019-12-31,0.0,-136225000000.0,-2183000000.0,-640028000000.0,807689000000.0,58991000000.0,836914000000.0,-7664000000.0,-62911000000.0,-137350000000.0,92136000000.0,-797000000.0,-640028000000.0,1264000000.0,,-1670000000.0,,
SIDO.JK,2018-12-31,0.0,-288721000000.0,-2183000000.0,-653919000000.0,663849000000.0,-97019000000.0,846389000000.0,-7664000000.0,120539000000.0,-246954000000.0,62001000000.0,-42138000000.0,-654882000000.0,963000000.0,,-768000000.0,,
BTPS.JK,2021-12-31,0.0,-2421643000000.0,-200000000000.0,-243711000000.0,1465005000000.0,1065893000000.0,3731247000000.0,198404000000.0,-156385000000.0,-120466000000.0,139211000000.0,,-242115000000.0,,-2245769000000.0,,2252957000000.0,
BTPS.JK,2020-12-31,0.0,-702497000000.0,158915000000.0,-226409000000.0,854614000000.0,220889000000.0,1149795000000.0,-56987000000.0,401445000000.0,-67449000000.0,156724000000.0,,-328337000000.0,,-577567000000.0,,-290889000000.0,
BTPS.JK,2019-12-31,0.0,-1488581000000.0,158915000000.0,266868000000.0,1399634000000.0,-973891000000.0,247822000000.0,276631000000.0,73740000000.0,-119488000000.0,81426000000.0,,-328337000000.0,,-1329713000000.0,,-1326499000000.0,-9763000000.0
BTPS.JK,2018-12-31,0.0,-402683000000.0,158915000000.0,1056445000000.0,965311000000.0,1009055000000.0,355293000000.0,305334000000.0,157849000000.0,-81490000000.0,89099000000.0,,-328337000000.0,751111000000.0,-301169000000.0,,-872001000000.0,-9763000000.0
HRUM.JK,2021-12-31,0.0,-275229127.0,98964187.0,83943286.0,74136707.0,-61775888.0,129509953.0,-37513869.0,37441062.0,-15906624.0,17932184.0,-1505847.0,-7007217.0,29500185.0,-181324806.0,,,
HRUM.JK,2020-12-31,0.0,-58533107.0,-1219754.0,-4604050.0,59004794.0,-15392509.0,47744648.0,-191926.0,-27030764.0,-7361140.0,15770618.0,2198818.0,-7007217.0,29500185.0,-53496529.0,,,-3192370.0
HRUM.JK,2019-12-31,0.0,-4431080.0,-1219754.0,-9089537.0,18504237.0,10081209.0,23601826.0,-2172951.0,-9004895.0,-8555396.0,14102484.0,4037454.0,-6916586.0,29500185.0,-53496529.0,,,-3192370.0
HRUM.JK,2018-12-31,0.0,-12256231.0,-10413643.0,-62559148.0,31809219.0,-49911116.0,24904263.0,-5654051.0,-21871285.0,-10965411.0,14966329.0,4640886.0,-45000000.0,29500185.0,-53496529.0,,,-1491454.0
CMRY.JK,2021-12-31,0.0,-288536000000.0,-8805000000.0,3157722000000.0,790195000000.0,3594835000000.0,725649000000.0,-3140000000.0,-129935000000.0,-293033000000.0,65389000000.0,1304000000.0,-400000000000.0,3569667000000.0,3479000000.0,,,
CMRY.JK,2020-12-31,0.0,-105332000000.0,-8872000000.0,-31950000000.0,176999000000.0,61603000000.0,198885000000.0,-23078000000.0,-34328000000.0,-102580000000.0,56214000000.0,-2821000000.0,-400000000000.0,3569667000000.0,3479000000.0,,,
CMRY.JK,2019-12-31,0.0,-47481000000.0,10435000000.0,5704000000.0,108049000000.0,6599000000.0,48376000000.0,-4731000000.0,-95930000000.0,-54444000000.0,36257000000.0,112000000.0,-400000000000.0,3569667000000.0,-11028000000.0,,,
CMRY.JK,2018-12-31,0.0,-148294000000.0,-842000000.0,-51572000000.0,83846000000.0,-91889000000.0,107977000000.0,-730000000.0,-3259000000.0,-162078000000.0,27390000000.0,3477000000.0,-50000000000.0,3569667000000.0,1300000000.0,,,
FREN.JK,2021-12-31,0.0,-2727746438300.0,-2072017444854.0,-336368080925.0,-435329110150.0,-191241580459.0,2871239612749.0,1034993620649.0,-570050985447.0,-1196237985316.0,3819264325703.0,-614787992778.0,,700655743280.0,-658078192000.0,1633326017.0,,
FREN.JK,2020-12-31,0.0,-4690017656226.0,2555529897062.0,3685360011762.0,-1523591144594.0,457685159884.0,1461087330743.0,1034993620649.0,-862935426226.0,-1539116640940.0,3332323879971.0,-3154407652725.0,,1129830114700.0,-658078192000.0,1255473605.0,,
FREN.JK,2019-12-31,0.0,-3809040856878.0,940792179141.0,3425747573441.0,-2187719595257.0,-208926563744.0,175615785066.0,1034993620649.0,-1319846721204.0,-1510104558655.0,2095865174165.0,-1727662300049.0,,2484955394300.0,-658078192000.0,-1249065373.0,,
FREN.JK,2018-12-31,0.0,-2936669253602.0,-2929377594371.0,3811503962229.0,-3552619911297.0,-35799065766.0,-912619177884.0,1034993620649.0,-981086679742.0,-1614169032722.0,1605296819040.0,-1403875464017.0,,6740881556600.0,-658078192000.0,1985403491.0,,
BNII.JK,2021-12-31,0.0,1786183000000.0,-2270039000000.0,-5663368000000.0,1644970000000.0,-371355000000.0,3434131000000.0,-3140088000000.0,1368933000000.0,-186543000000.0,438428000000.0,-16373000000.0,-253241000000.0,,2043336000000.0,71699000000.0,671468000000.0,
BNII.JK,2020-12-31,0.0,-17056018000000.0,-6676989000000.0,2373841000000.0,1266348000000.0,6390625000000.0,21017905000000.0,9419297000000.0,1462966000000.0,-106563000000.0,439547000000.0,-51360000000.0,-368467000000.0,,-16838484000000.0,54897000000.0,17317075000000.0,
BNII.JK,2019-12-31,0.0,-3087881000000.0,-1841641000000.0,-9598428000000.0,1842520000000.0,562319000000.0,13394782000000.0,-7252948000000.0,1783837000000.0,-187393000000.0,287772000000.0,-51360000000.0,-503839000000.0,,-2771227000000.0,-146154000000.0,10884753000000.0,
BNII.JK,2018-12-31,0.0,3805485000000.0,3299277000000.0,848433000000.0,2194576000000.0,1670644000000.0,-3213896000000.0,-4088612000000.0,1329052000000.0,-174684000000.0,220533000000.0,-51360000000.0,-360764000000.0,1998532000000.0,4004109000000.0,230622000000.0,-10552882000000.0,
