emiten,tanggal,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
AMRT.JK,2018-12-31,,,867131000000,161090000000,650138000000,12572236000000,13222452000000,1360176000000,1360176000000,-709960000000,-528487000000,,,,198705000000,66817305000000,65457129000000,53594853000000,-493045000000,,668426000000,650138000000
INKP.JK,2021-12-31,,,662635000,511000,527079000,363159000,1222205000,859046000,859046000,,-251614000,,,,135596000,3516586000,2657540000,2294381000,-196411000,,527039000,527079000
INKP.JK,2020-12-31,,,383437000,551000,294053000,324230000,855556000,531326000,531326000,,-208200000,,,,89396000,2986033000,2454707000,2130477000,-147889000,,294041000,294053000
INKP.JK,2019-12-31,,,397897000,563000,274370000,306746000,867114000,560368000,560368000,,-201129000,,,,123507000,3223153000,2662785000,2356039000,-162471000,,274390000,274370000
INKP.JK,2018-12-31,,,735755000,544000,588127000,304759000,1198806000,894047000,894047000,,-184846000,,,,147549000,3335441000,2441394000,2136635000,-158292000,,588206000,588127000
MASA.JK,2021-12-31,,,78228208,5332,60973929,63808777,143531557,81750824,81750824,-2028044,-1229386,,,,17252758,463204971,381454147,319673414,-3522616,,60975450,60973929
MASA.JK,2020-12-31,,,27850434,3810,35354299,43031418,84442584,42577889,42577889,-1166723,-3254693,,,,-7505523,319332264,276754375,234889680,-14727455,,35355957,35354299
MASA.JK,2019-12-31,,,-9207407,720,-11188992,42450749,35153270,-7147930,-7147930,-149549,-12680027,,,,1981585,318263297,325411227,283110027,-2059477,,-11188992,-11188992
MASA.JK,2018-12-31,,,-44629075,10333086,-46539610,46358613,20383276,-26501392,-26501392,526055,-15561842,,,,11396146,298640781,325142173,278257505,-18127683,9479751.0,-56025221,-46539610
DNET.JK,2021-12-31,,,1006490000000,423280000000,943114000000,538168000000,816091000000,266514000000,266514000000,11409000000,-584039000000,,,,21820000000,844412000000,577898000000,28321000000,739976000000,,984670000000,943114000000
DNET.JK,2020-12-31,,,343401000000,258562000000,328828000000,412915000000,465585000000,39457000000,39457000000,13213000000,-574504000000,,,,16348000000,488888000000,449431000000,23303000000,303944000000,,327053000000,328828000000
DNET.JK,2019-12-31,,,540808402281,259392103126,523050243931,335992950511,241484043922,-100051916332,-100051916332,5543009743,-541996974007,,,,21664340716,257797623019,357849539351,16313579097,640860318613,,519144061565,523050243931
DNET.JK,2018-12-31,,,286072851383,125328153030,289411094974,219322469047,122101427686,-99308813197,-99308813197,2087771836,-238687984213,,,,3204725332,129788816784,229097629981,7687389098,385381664580,,282868126051,289411094974
INCO.JK,2021-12-31,,,220645000,10000,165797000,4204000,235364000,220719000,220719000,10441000,-2755000,,,,54848000,953174000,732455000,717810000,-74000,,165797000,165797000
INCO.JK,2020-12-31,,,104645000,10000,82819000,7385000,124379000,106394000,106394000,10600000,-1610000,,,,21826000,764744000,658350000,640365000,-1749000,,82819000,82819000
INCO.JK,2019-12-31,,,89136000,10000,57400000,13730000,117689000,89520000,89520000,14439000,-1673000,,,,31736000,782012000,692492000,664323000,-384000,,57400000,57400000
INCO.JK,2018-12-31,,,82617000,10000,60512000,11578000,104001000,82480000,82480000,9943000,-3133000,,,,22105000,776900000,694420000,672899000,137000,,60512000,60512000
GEMS.JK,2021-12-31,,,460840753,1293715,348004331,270202985,749514236,471224683,471224683,6237213,-7626196,,,,106816383,1585953591,1114728908,836439355,-10383930,,354024370,348004331
GEMS.JK,2020-12-31,,,127132647,2903242,93931379,235280147,370544449,129658201,129658201,5364533,-9160982,,,,31276094,1061409877,931751676,690865428,-2525554,,95856553,93931379
GEMS.JK,2019-12-31,,,100340160,2340988,65408886,233794876,350507285,111282511,111282511,5078251,-11832687,,,,33574303,1107464101,996181590,756956816,-10942351,,66765857,65408886
